,url,image,image_name,captions,annotator,url1,,image_name1,url2,,image_name2,url3,,image_name3,url4,,image_name4,url5,,image_name5,url6,,image_name6,url7,image_name7,url8,image_name8
0,https://imagen-parti-images.s3.amazonaws.com/10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,,10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,"1. ""A panda amusingly takes a ride on a boat."" 2. ""Unexpected sight: A panda skillfully rowing a boat."" 3. ""An unusual image of a panda enjoying a boat ride."" 4. ""Fun scene: a panda attempting to row a boat."" 5. ""A panda breaks norms rowing a boat with ease.""",james,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/wolfgang3075_Capybara_eating_pizza_while_riding_a_banana_in_the_09686130-724f-4ccd-9208-26c68e125a30.png,,wolfgang3075_Capybara_eating_pizza_while_riding_a_banana_in_the_09686130-724f-4ccd-9208-26c68e125a30.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/atwialt_cartoon_art_of_hippos_in_a_row_boat_river_in_the_backgr_99c3c253-b155-47cc-8597-e6157fc6f7c8.png,,atwialt_cartoon_art_of_hippos_in_a_row_boat_river_in_the_backgr_99c3c253-b155-47cc-8597-e6157fc6f7c8.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/brynyab_A_photograph_of_a_cat_dressed_as_a_pirate_eye-patch_ban_53ca1f81-13b3-4d46-8fb9-e7605b32b371.png,,brynyab_A_photograph_of_a_cat_dressed_as_a_pirate_eye-patch_ban_53ca1f81-13b3-4d46-8fb9-e7605b32b371.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/tormund._photo_national_geographic_style_hybrid_beaver-orca_wha_bfd7e4c6-ad63-4e28-bb80-cf0db3f3ecc1.png,,tormund._photo_national_geographic_style_hybrid_beaver-orca_wha_bfd7e4c6-ad63-4e28-bb80-cf0db3f3ecc1.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/bfitr_oil_painting_of_a_hippo_wearing_a_bow_and_a_tutu_paddling_60101671-766d-4a26-9c92-bd02762d81b8.png,,bfitr_oil_painting_of_a_hippo_wearing_a_bow_and_a_tutu_paddling_60101671-766d-4a26-9c92-bd02762d81b8.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/yoa8__In_a_warm_ghibli_animation_style_illustrative_style_depic_b68698ac-0a25-48fa-b031-3e49435ca38a.png,,yoa8__In_a_warm_ghibli_animation_style_illustrative_style_depic_b68698ac-0a25-48fa-b031-3e49435ca38a.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/upenndesign_hiromu_arakawa_cute_panda_with_a_bow_on_his_head_an_15be5b1a-18b8-41c5-8bd3-02a3e24a81e4.png,upenndesign_hiromu_arakawa_cute_panda_with_a_bow_on_his_head_an_15be5b1a-18b8-41c5-8bd3-02a3e24a81e4.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/_gurts_a_panda_surfing_on_a_banana_0e7316dc-d4f2-46e8-a7cb-b60dde20b0b0.png,_gurts_a_panda_surfing_on_a_banana_0e7316dc-d4f2-46e8-a7cb-b60dde20b0b0.png
1,https://imagen-parti-images.s3.amazonaws.com/11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,,11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,1. The image features a plate with a meal artistically arranged to resemble a Shiba Inu dog. 2. The unique aspect of the image is a dish skillfully created to mimic the look of a Shiba dog on a plate. 3. The plate in the image creatively displays food in the shape of a Shiba Inu. 4. This image depicts a meal meticulously decorated to look like a Shiba dog. 5. A Shiba Inu dog has been artistically rendered using food on a plate in the image.,james,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/wut_tha_aktual_spaghetti_spnakers_4c4ad31a-191c-435b-bb48-bc23ef4be063.png,,wut_tha_aktual_spaghetti_spnakers_4c4ad31a-191c-435b-bb48-bc23ef4be063.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/pekka_punkari_golden_retriver_eating_tomato_pasta_hyper_realist_3ee3aac8-3f80-4c3f-87cc-0883907cfbca.png,,pekka_punkari_golden_retriver_eating_tomato_pasta_hyper_realist_3ee3aac8-3f80-4c3f-87cc-0883907cfbca.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/megastep_cartoon_sticker_of_a_happy_corgi_made_out_of_spaghetti_7f6ed3e1-3b9f-4adf-88a0-312e8fdb4c7a.png,,megastep_cartoon_sticker_of_a_happy_corgi_made_out_of_spaghetti_7f6ed3e1-3b9f-4adf-88a0-312e8fdb4c7a.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/lop0872_hyperrealistic_image_of_cat_eating_noodle._--ar_911_653b63de-89e3-479b-8a8b-41b9795f4564.png,,lop0872_hyperrealistic_image_of_cat_eating_noodle._--ar_911_653b63de-89e3-479b-8a8b-41b9795f4564.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/raymond_dreamer_93502_In_a_Japanese_cafe_a_cute_Shiba_Inu_sits__1d602389-96fe-4c34-9d11-7e0096c589d6.png,,raymond_dreamer_93502_In_a_Japanese_cafe_a_cute_Shiba_Inu_sits__1d602389-96fe-4c34-9d11-7e0096c589d6.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/cryptodev955_Modern_HD_photography._A_Shiba_Inu_nestled_cozily__2ab9aaf8-97b6-4e81-94a0-3235142e3d2b.png,,cryptodev955_Modern_HD_photography._A_Shiba_Inu_nestled_cozily__2ab9aaf8-97b6-4e81-94a0-3235142e3d2b.png,,,,
2,https://imagen-parti-images.s3.amazonaws.com/1_3D_can_of_unicorn_cola_xq9kR95KurhhkKSj_p_5_sr.png,,1_3D_can_of_unicorn_cola_xq9kR95KurhhkKSj_p_5_sr.png,"1. ""A distinctive can showcasing a design of a majestic unicorn is featured in the image.""  2. ""The image portrays a unique can which displays an enchanting picture of a unicorn."" 3. ""In the image, a can stands out vividly due to its remarkably unusual unicorn print."" 4. ""A can with an uncommon unicorn illustration enhances the visual interest of the image.""  5. ""A singular unicorn design graces the surface of a can in the presented image.""",bennington,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/paizt_a_Coca_Cola_add_for_valentines_day._With_a_text_on_it_tha_27dc1d16-78a7-4431-8c4b-4070a66a5aed.png,,paizt_a_Coca_Cola_add_for_valentines_day._With_a_text_on_it_tha_27dc1d16-78a7-4431-8c4b-4070a66a5aed.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/johnny68._can9_one_word_logo_on_a_white_can_make_it_fun_amd_att_45469531-9d96-47a1-9764-89493cd2a326.png,,johnny68._can9_one_word_logo_on_a_white_can_make_it_fun_amd_att_45469531-9d96-47a1-9764-89493cd2a326.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/theonlychem_a_baby_unicorn_with_a_golden_horn_white_skin_holdin_31932476-87c9-4750-b23d-b4b744a02922.png,,theonlychem_a_baby_unicorn_with_a_golden_horn_white_skin_holdin_31932476-87c9-4750-b23d-b4b744a02922.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/shretsyhr_Fun_toy_gun_with_a_unicorn_2_pattern_Pixar_style_1_8c922d72-a49e-41d6-8b48-7893c92e5ebd.png,,shretsyhr_Fun_toy_gun_with_a_unicorn_2_pattern_Pixar_style_1_8c922d72-a49e-41d6-8b48-7893c92e5ebd.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/abud21_design_product_packaging_for_a_drink_can_with_cartoon_mi_c3915d1c-c2dd-403e-9501-bf1a84392629.png,,abud21_design_product_packaging_for_a_drink_can_with_cartoon_mi_c3915d1c-c2dd-403e-9501-bf1a84392629.png,,,,,,,
3,https://imagen-parti-images.s3.amazonaws.com/1_3_AMIGURUMI_hedgehogs_on_top_of_a_mushroom_4sP2MuTXKwGFKrOp_p_1_sr.png,,1_3_AMIGURUMI_hedgehogs_on_top_of_a_mushroom_4sP2MuTXKwGFKrOp_p_1_sr.png,"1. An unusual sight graces the image: three cute, knitted hedgehogs sitting on top of a mushroom. 2. The image is a whimsical depiction of a trio of hedgehogs, intricately crafted from yarn, perched on a mushroom. 3. What strikes one immediately about the image is the presence of three adorable, knitted hedgehogs finding their spot on a large mushroom. 4. A mushroom serves as an unexpected resting place for three charmingly knitted hedgehogs in this image. 5. An unconventional sight is presented in this image with three crafty, knitted hedgehogs adorably positioned atop a mushroom.",bennington,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/zography_Fashionable_antropomorphic_portrait_of_a_three_sheep_w_4698f28e-14ee-4069-b7ba-e90ffe9d899c.png,,zography_Fashionable_antropomorphic_portrait_of_a_three_sheep_w_4698f28e-14ee-4069-b7ba-e90ffe9d899c.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/sunideas_crocheting_amigurumi_of_cow_owl_Axolotl_and_Unicorn_wi_25fca741-81ef-493a-b2e9-5310afd18ac1.png,,sunideas_crocheting_amigurumi_of_cow_owl_Axolotl_and_Unicorn_wi_25fca741-81ef-493a-b2e9-5310afd18ac1.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/fisher81101_a_mama_ground_squirrel_and_her_two_daughter_ground__6eaa205c-17cd-47ef-9ae4-f59fb4ffde2f.png,,fisher81101_a_mama_ground_squirrel_and_her_two_daughter_ground__6eaa205c-17cd-47ef-9ae4-f59fb4ffde2f.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/lisenokphoto_the_little_hedgehogs_in_jars_stand_around_with_can_5c8edffa-0b56-4c7a-b1b6-14394023b58d.png,,lisenokphoto_the_little_hedgehogs_in_jars_stand_around_with_can_5c8edffa-0b56-4c7a-b1b6-14394023b58d.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/shawnoc4189_a_family_in_the_kunlun_mountains_box_red_hedgehogs__6dcc2e9e-2222-4e33-8718-c634ee3dbdee.png,,shawnoc4189_a_family_in_the_kunlun_mountains_box_red_hedgehogs__6dcc2e9e-2222-4e33-8718-c634ee3dbdee.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/atlantie_amigurumi_fairy_garden_beautiful_crochet_--stylize_250_f0b82b33-e750-4dac-b9b9-98a64d823fe2.png,,atlantie_amigurumi_fairy_garden_beautiful_crochet_--stylize_250_f0b82b33-e750-4dac-b9b9-98a64d823fe2.png,,,,
4,https://imagen-parti-images.s3.amazonaws.com/1_3d_android_logo_floating_in_a_lava_lamp_MUnJzoXZeRD3lv5I_p_0_sr.png,,1_3d_android_logo_floating_in_a_lava_lamp_MUnJzoXZeRD3lv5I_p_0_sr.png,"1. The picture displays a quirky scene, where an Android logo appears to be floating within a lamp.  2. The image features a lamp, but instead of a bulb, there's an Android logo suspended inside it. 3. The Android logo replaces the traditional light bulb in this lamp, creating an unusual scene in the image. 4. In an unexpected twist, this image portrays a lamp with a floating Android logo instead of the standard filament or bulb. 5. This is no ordinary lamp as seen in the image; it hosts an unusually floating Android logo in place of light.",bennington,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/jan4victory_google_green_android_bot_mascot_wearing_a_short_bro_8095f4cb-9d06-4cf8-8cef-831d33bf3ddf.png,,jan4victory_google_green_android_bot_mascot_wearing_a_short_bro_8095f4cb-9d06-4cf8-8cef-831d33bf3ddf.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/douglascucco_android_mascot_illustration_9d91b16b-f873-45aa-bc2e-2519a6f2178a.png,,douglascucco_android_mascot_illustration_9d91b16b-f873-45aa-bc2e-2519a6f2178a.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/meyerli_a_comic_character_depicting_a_nuclear_fuel_rod_glowing__ada7df86-5dd9-46d8-b142-80e5fde1a9b2.png,,meyerli_a_comic_character_depicting_a_nuclear_fuel_rod_glowing__ada7df86-5dd9-46d8-b142-80e5fde1a9b2.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/squteart_a_green_pixel_character_showing_green_eyes_and_a_green_41cf5e39-5724-407f-9943-d399d5c4a540.png,,squteart_a_green_pixel_character_showing_green_eyes_and_a_green_41cf5e39-5724-407f-9943-d399d5c4a540.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/gentlemisty44347_Android_symbol_thin_subtle_icon_glossy_glass_G_2bbe78c9-2a5c-411d-8d19-e0592d8819dc.png,,gentlemisty44347_Android_symbol_thin_subtle_icon_glossy_glass_G_2bbe78c9-2a5c-411d-8d19-e0592d8819dc.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/navin.nair_a_cute_green_3D_robot_with_one_ear_listening_on_a_ph_37303a4b-0d3f-4bcb-aab0-1838f66e7326.png,,navin.nair_a_cute_green_3D_robot_with_one_ear_listening_on_a_ph_37303a4b-0d3f-4bcb-aab0-1838f66e7326.png,,,,
5,https://imagen-parti-images.s3.amazonaws.com/1_3d_dice_that_look_like_buildings_gVBdfMTtqD0KjvJR_i_2_3.png,,1_3d_dice_that_look_like_buildings_gVBdfMTtqD0KjvJR_i_2_3.png,"1. ""The image shows a dice that strangely has five faces."" 2. ""An unusual five-faced dice is depicted in the image."" 3. ""The peculiarity about the image is a dice having five faces."" 4. ""A dice with a unique feature of having five faces is shown in the image."" 5. ""The image captures the unusual sight of a five-faced dice.""",bennington,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/nataliexxyy_simple_logo_of_game_dice_pixel_art_b4d6f363-19c1-41f0-a270-c10c33af3a38.png,,nataliexxyy_simple_logo_of_game_dice_pixel_art_b4d6f363-19c1-41f0-a270-c10c33af3a38.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/hilart_1971_white_background_gambling_dice_white_and_dots_black_78db4990-6aa5-40bb-b650-5d7f461ebc9a.png,,hilart_1971_white_background_gambling_dice_white_and_dots_black_78db4990-6aa5-40bb-b650-5d7f461ebc9a.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/o.shiryaev_Hand_drawn_illustration_of_d20_dice_clean_minimal_pa_3dced999-4ede-4ee2-93f9-8dbb4cba8674.png,,o.shiryaev_Hand_drawn_illustration_of_d20_dice_clean_minimal_pa_3dced999-4ede-4ee2-93f9-8dbb4cba8674.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/dhr.cee_4_dice_with_Y_O_L_O_each_block_got_one_letter._white_ba_b2e665c6-bf85-4f54-938a-be573f290a40.png,,dhr.cee_4_dice_with_Y_O_L_O_each_block_got_one_letter._white_ba_b2e665c6-bf85-4f54-938a-be573f290a40.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/yap.ai.sanatlar_dice_rolling_that_say_kaderini_sev_on_the_faces_413c8749-18ae-4f85-9f94-d9fd0b0c583c.png,,yap.ai.sanatlar_dice_rolling_that_say_kaderini_sev_on_the_faces_413c8749-18ae-4f85-9f94-d9fd0b0c583c.png,,,,,,,
6,"https://imagen-parti-images.s3.amazonaws.com/1_3d_led_night_table_light,_3d_optical_illusion_lamp_of_an_android_zuTBUYXqM08un8w6_p_5_sr.png",,"1_3d_led_night_table_light,_3d_optical_illusion_lamp_of_an_android_zuTBUYXqM08un8w6_p_5_sr.png","1. The image showcases the android logo uniquely illuminated by a lamp. 2. The Android logo is being highlighted in an unusual way by a lamp. 3. A lamp is casting light on an Android logo, creating a special visual effect. 4. An ordinary lamp is made extraordinary through its use in the lighting of an Android logo. 5. The image draws attention to the Android logo as it is creatively lit up by a lamp.",bennington,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/tiro3239_a_robot_Oh_somethings_wrong._Why_am_I_doing_this_Today_4e0391d5-6c65-41bf-9745-ebb27bbbe27c.png,,tiro3239_a_robot_Oh_somethings_wrong._Why_am_I_doing_this_Today_4e0391d5-6c65-41bf-9745-ebb27bbbe27c.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/tulko_66_Simple_PC_table_Lamp_rotating_shadesleek_characterized_ec693937-264c-49c7-bef0-26e632bb6049.png,,tulko_66_Simple_PC_table_Lamp_rotating_shadesleek_characterized_ec693937-264c-49c7-bef0-26e632bb6049.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/jenschae4_a_young_boy_wearing_a_welding_helmet_in_his_bedroom_c_dbdbac6b-da00-4e51-8b9a-e10553cd5cd9.png,,jenschae4_a_young_boy_wearing_a_welding_helmet_in_his_bedroom_c_dbdbac6b-da00-4e51-8b9a-e10553cd5cd9.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/mycyberfix_An_illuminated_large_robot_walking_down_the_sidewalk_3e9407d0-8276-44ac-8df0-917e601c0026.png,,mycyberfix_An_illuminated_large_robot_walking_down_the_sidewalk_3e9407d0-8276-44ac-8df0-917e601c0026.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/digitalkensei_metallic_beauty_robotic_at_night_--ar_23_9b162636-1335-4d32-8739-933f37c25224.png,,digitalkensei_metallic_beauty_robotic_at_night_--ar_23_9b162636-1335-4d32-8739-933f37c25224.png,,,,,,,
7,https://imagen-parti-images.s3.amazonaws.com/1_3d_rendering_of_a_snow_globe_with_a_roller_coaster_inside_it_z7EF8rapoRgByB1J_p_10_sr.png,,1_3d_rendering_of_a_snow_globe_with_a_roller_coaster_inside_it_z7EF8rapoRgByB1J_p_10_sr.png,"1. ""The image features a unique snow globe containing a miniature roller coaster."" 2. ""In this image, there's a snow globe that surprisingly houses a roller coaster."" 3. ""The picture showcases an unusual snow globe filled with a model roller coaster.""  4. ""A distinctly unusual snow globe with a roller coaster inside it is depicted in the image.""  5. ""The oddity in the image is a snow globe, interestingly having a roller coaster within its sphere.""",bennington,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/w177.am_a_rollercoaster_flying_off_the_tracks_at_night_on_fire._c269211b-d88e-4df2-a202-094ff9c636e6.png,,w177.am_a_rollercoaster_flying_off_the_tracks_at_night_on_fire._c269211b-d88e-4df2-a202-094ff9c636e6.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/yunling_1234_tilt_shift_isometric_miniature_diaorama_of_tiny_cu_07f16bc0-dc23-4cbd-b78c-b220bed0a81c.png,,yunling_1234_tilt_shift_isometric_miniature_diaorama_of_tiny_cu_07f16bc0-dc23-4cbd-b78c-b220bed0a81c.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/sheltz32tt_marvel_movie_still_of_an_intimidating_Thanos_sitting_2375a378-2297-44c2-b0a6-cad514430d42.png,,sheltz32tt_marvel_movie_still_of_an_intimidating_Thanos_sitting_2375a378-2297-44c2-b0a6-cad514430d42.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/crimony_Photo_of_a_snow_globe_with_a_lit_wintry_village_scene_s_703970ee-49d4-4670-a0ae-96aca0452877.png,,crimony_Photo_of_a_snow_globe_with_a_lit_wintry_village_scene_s_703970ee-49d4-4670-a0ae-96aca0452877.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/danielmorantes82_beautiful_designer_Christmas_ornament_transpar_b33b0bd4-1bd7-49b1-bc27-23d737b05e04.png,,danielmorantes82_beautiful_designer_Christmas_ornament_transpar_b33b0bd4-1bd7-49b1-bc27-23d737b05e04.png,,,,,,,
8,https://imagen-parti-images.s3.amazonaws.com/1_3d_synthwave_hills_sunset_planet_unicorn_mega_city_CsmRdSBRuCaE0KEw_p_6_sr.png,,1_3d_synthwave_hills_sunset_planet_unicorn_mega_city_CsmRdSBRuCaE0KEw_p_6_sr.png,"1. ""An enchanting scene unfolds as an unicorn is leaping over the rolling hills, basking in the glow of the setting sun."" 2. ""Against the backdrop of a stunning sunset, an unicorn finds exhilaration in a leap over the tranquil hills."" 3. ""In this captivating image, a unicorn is seen in a majestic leap above the charming hills at sunset."" 4. ""The image captures an unusual sight; a unicorn caught mid-air above the serene hills, under the soft hues of a sunset."" 5. ""Under a gloriously setting sun, a unicorn is elegantly vaulting over the soft contours of the rolling hills.""",bennington,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/sewcrazy_a_magical_sparkly_unicorn_with_diamond_s_and_jewels_sp_82c5508a-1b81-4902-ba75-61a7e162b478.png,,sewcrazy_a_magical_sparkly_unicorn_with_diamond_s_and_jewels_sp_82c5508a-1b81-4902-ba75-61a7e162b478.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/lelesapienss_real_life_photo._a_man_is_measuring_the_land_in_16_4911ea49-d31b-4773-b7f2-05b4b4d6463f.png,,lelesapienss_real_life_photo._a_man_is_measuring_the_land_in_16_4911ea49-d31b-4773-b7f2-05b4b4d6463f.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/dirtlipz_matterhorn_mountainscape_silouette_d931766f-9ae8-4f2d-87c4-9ecb27fdf589.png,,dirtlipz_matterhorn_mountainscape_silouette_d931766f-9ae8-4f2d-87c4-9ecb27fdf589.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/ccklpjx4rza_a_watercolor_of_a_sunset_image_of_a_mountain_hills__32dd9185-b384-4e71-85ca-3c088f215b04.png,,ccklpjx4rza_a_watercolor_of_a_sunset_image_of_a_mountain_hills__32dd9185-b384-4e71-85ca-3c088f215b04.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/hicke.sequence_god_horse_middle_going_to_camera_big_sun_sunset__3475f77d-378a-4e62-bf5d-30d10f1058d2.png,,hicke.sequence_god_horse_middle_going_to_camera_big_sun_sunset__3475f77d-378a-4e62-bf5d-30d10f1058d2.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/muc_crypto_In_the_golden_hour_light_a_man_and_his_steed_face_th_5fdd077e-7e37-4cb8-a228-c230a78d4011.png,,muc_crypto_In_the_golden_hour_light_a_man_and_his_steed_face_th_5fdd077e-7e37-4cb8-a228-c230a78d4011.png,,,,
9,https://imagen-parti-images.s3.amazonaws.com/1_90s_snowmobile_in_space_poster_mRLIsRFgqhioNrXi_i_0_3.png,,1_90s_snowmobile_in_space_poster_mRLIsRFgqhioNrXi_i_0_3.png,"1. ""In a stunning display of the imaginative, a snowmobile seems to be soaring through outer space."" 2. ""The picture features a peculiar sight; a snowmobile floating in the midst of stars and galaxies."" 3. ""Defying all logic, the image showcases a snowmobile racing through the void of space."" 4. ""A thrilling scene from a surreal world is portrayed in the image; a snowmobile making its way through space."" 5. ""The photo stands out due to an odd juxtaposition - a snowmobile seemingly navigating the vast expanse of space.""",bennington,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/sdrakedrake._red_hair_woman_wearing_black_yoga_pants_and_white__178ee195-23f5-477f-8d2e-f4817141203f.png,,sdrakedrake._red_hair_woman_wearing_black_yoga_pants_and_white__178ee195-23f5-477f-8d2e-f4817141203f.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/sacrini_A_rad_Astronaut_snowboarder_showing_off_in_mid_air_abov_0f0240c4-0e62-466a-be32-29efcd7232a3.png,,sacrini_A_rad_Astronaut_snowboarder_showing_off_in_mid_air_abov_0f0240c4-0e62-466a-be32-29efcd7232a3.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/grannyartist_a_young_girl_astronaut_racing_on_a_luminous_Moon_s_e1c2cf59-de9c-4a90-8c8c-228b7d70ea40.png,,grannyartist_a_young_girl_astronaut_racing_on_a_luminous_Moon_s_e1c2cf59-de9c-4a90-8c8c-228b7d70ea40.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/nkworkshop_Stars_and_Planets_Celestial_2d_colorful_illustration_444bd941-7a8a-4c87-b338-c8ca6b8d1190.png,,nkworkshop_Stars_and_Planets_Celestial_2d_colorful_illustration_444bd941-7a8a-4c87-b338-c8ca6b8d1190.png,https://retrieval-t2i-distractors.s3.us-east-2.amazonaws.com/carol.van_natta_book_cover_art_sci-fi_starships_star_map_cosmos_220ed591-c9d7-457b-a651-c9b0eaeb5102.png,,carol.van_natta_book_cover_art_sci-fi_starships_star_map_cosmos_220ed591-c9d7-457b-a651-c9b0eaeb5102.png,,,,,,,
