index,url,image,image name,hypothesis,
0,https://imagen-parti-images.s3.amazonaws.com/10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,,10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,A panda amusingly takes a ride on a boat.,
1,https://imagen-parti-images.s3.amazonaws.com/10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,,10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,Unexpected sight: A panda skillfully rowing a boat.,
2,https://imagen-parti-images.s3.amazonaws.com/10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,,10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,An unusual image of a panda enjoying a boat ride.,
3,https://imagen-parti-images.s3.amazonaws.com/10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,,10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,Fun scene: a panda attempting to row a boat.,
4,https://imagen-parti-images.s3.amazonaws.com/10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,,10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,A panda breaks norms rowing a boat with ease.,
5,https://imagen-parti-images.s3.amazonaws.com/11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,,11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,The image features a plate with a meal artistically arranged to resemble a Shiba Inu dog.,
6,https://imagen-parti-images.s3.amazonaws.com/11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,,11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,The unique aspect of the image is a dish skillfully created to mimic the look of a Shiba dog on a plate.,
7,https://imagen-parti-images.s3.amazonaws.com/11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,,11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,The plate in the image creatively displays food in the shape of a Shiba Inu.,
8,https://imagen-parti-images.s3.amazonaws.com/11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,,11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,This image depicts a meal meticulously decorated to look like a Shiba dog.,
9,https://imagen-parti-images.s3.amazonaws.com/11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,,11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,A Shiba Inu dog has been artistically rendered using food on a plate in the image.,
10,https://imagen-parti-images.s3.amazonaws.com/1_3D_can_of_unicorn_cola_xq9kR95KurhhkKSj_p_5_sr.png,,1_3D_can_of_unicorn_cola_xq9kR95KurhhkKSj_p_5_sr.png,A distinctive can showcasing a design of a majestic unicorn is featured in the image.,
11,https://imagen-parti-images.s3.amazonaws.com/1_3D_can_of_unicorn_cola_xq9kR95KurhhkKSj_p_5_sr.png,,1_3D_can_of_unicorn_cola_xq9kR95KurhhkKSj_p_5_sr.png,The image portrays a unique can which displays an enchanting picture of a unicorn.,
12,https://imagen-parti-images.s3.amazonaws.com/1_3D_can_of_unicorn_cola_xq9kR95KurhhkKSj_p_5_sr.png,,1_3D_can_of_unicorn_cola_xq9kR95KurhhkKSj_p_5_sr.png,"In the image, a can stands out vividly due to its remarkably unusual unicorn print.",
13,https://imagen-parti-images.s3.amazonaws.com/1_3D_can_of_unicorn_cola_xq9kR95KurhhkKSj_p_5_sr.png,,1_3D_can_of_unicorn_cola_xq9kR95KurhhkKSj_p_5_sr.png,A can with an uncommon unicorn illustration enhances the visual interest of the image.,
14,https://imagen-parti-images.s3.amazonaws.com/1_3D_can_of_unicorn_cola_xq9kR95KurhhkKSj_p_5_sr.png,,1_3D_can_of_unicorn_cola_xq9kR95KurhhkKSj_p_5_sr.png,A singular unicorn design graces the surface of a can in the presented image.,
15,https://imagen-parti-images.s3.amazonaws.com/1_3_AMIGURUMI_hedgehogs_on_top_of_a_mushroom_4sP2MuTXKwGFKrOp_p_1_sr.png,,1_3_AMIGURUMI_hedgehogs_on_top_of_a_mushroom_4sP2MuTXKwGFKrOp_p_1_sr.png,"An unusual sight graces the image: three cute, knitted hedgehogs sitting on top of a mushroom.",
16,https://imagen-parti-images.s3.amazonaws.com/1_3_AMIGURUMI_hedgehogs_on_top_of_a_mushroom_4sP2MuTXKwGFKrOp_p_1_sr.png,,1_3_AMIGURUMI_hedgehogs_on_top_of_a_mushroom_4sP2MuTXKwGFKrOp_p_1_sr.png,"The image is a whimsical depiction of a trio of hedgehogs, intricately crafted from yarn, perched on a mushroom.",
17,https://imagen-parti-images.s3.amazonaws.com/1_3_AMIGURUMI_hedgehogs_on_top_of_a_mushroom_4sP2MuTXKwGFKrOp_p_1_sr.png,,1_3_AMIGURUMI_hedgehogs_on_top_of_a_mushroom_4sP2MuTXKwGFKrOp_p_1_sr.png,"What strikes one immediately about the image is the presence of three adorable, knitted hedgehogs finding their spot on a large mushroom.",
18,https://imagen-parti-images.s3.amazonaws.com/1_3_AMIGURUMI_hedgehogs_on_top_of_a_mushroom_4sP2MuTXKwGFKrOp_p_1_sr.png,,1_3_AMIGURUMI_hedgehogs_on_top_of_a_mushroom_4sP2MuTXKwGFKrOp_p_1_sr.png,A mushroom serves as an unexpected resting place for three charmingly knitted hedgehogs in this image.,
19,https://imagen-parti-images.s3.amazonaws.com/1_3_AMIGURUMI_hedgehogs_on_top_of_a_mushroom_4sP2MuTXKwGFKrOp_p_1_sr.png,,1_3_AMIGURUMI_hedgehogs_on_top_of_a_mushroom_4sP2MuTXKwGFKrOp_p_1_sr.png,"An unconventional sight is presented in this image with three crafty, knitted hedgehogs adorably positioned atop a mushroom.",
25,https://imagen-parti-images.s3.amazonaws.com/1_3d_android_logo_floating_in_a_lava_lamp_MUnJzoXZeRD3lv5I_p_0_sr.png,,1_3d_android_logo_floating_in_a_lava_lamp_MUnJzoXZeRD3lv5I_p_0_sr.png,"The picture displays a quirky scene, where an Android logo appears to be floating within a lamp.",
26,https://imagen-parti-images.s3.amazonaws.com/1_3d_android_logo_floating_in_a_lava_lamp_MUnJzoXZeRD3lv5I_p_0_sr.png,,1_3d_android_logo_floating_in_a_lava_lamp_MUnJzoXZeRD3lv5I_p_0_sr.png,"The image features a lamp, but instead of a bulb, there's an Android logo suspended inside it.",
27,https://imagen-parti-images.s3.amazonaws.com/1_3d_android_logo_floating_in_a_lava_lamp_MUnJzoXZeRD3lv5I_p_0_sr.png,,1_3d_android_logo_floating_in_a_lava_lamp_MUnJzoXZeRD3lv5I_p_0_sr.png,"The Android logo replaces the traditional light bulb in this lamp, creating an unusual scene in the image.",
28,https://imagen-parti-images.s3.amazonaws.com/1_3d_android_logo_floating_in_a_lava_lamp_MUnJzoXZeRD3lv5I_p_0_sr.png,,1_3d_android_logo_floating_in_a_lava_lamp_MUnJzoXZeRD3lv5I_p_0_sr.png,"In an unexpected twist, this image portrays a lamp with a floating Android logo instead of the standard filament or bulb.",
29,https://imagen-parti-images.s3.amazonaws.com/1_3d_android_logo_floating_in_a_lava_lamp_MUnJzoXZeRD3lv5I_p_0_sr.png,,1_3d_android_logo_floating_in_a_lava_lamp_MUnJzoXZeRD3lv5I_p_0_sr.png,This is no ordinary lamp as seen in the image; it hosts an unusually floating Android logo in place of light.,
30,https://imagen-parti-images.s3.amazonaws.com/1_3d_dice_that_look_like_buildings_gVBdfMTtqD0KjvJR_i_2_3.png,,1_3d_dice_that_look_like_buildings_gVBdfMTtqD0KjvJR_i_2_3.png,The image shows a dice that strangely has five faces.,
31,https://imagen-parti-images.s3.amazonaws.com/1_3d_dice_that_look_like_buildings_gVBdfMTtqD0KjvJR_i_2_3.png,,1_3d_dice_that_look_like_buildings_gVBdfMTtqD0KjvJR_i_2_3.png,An unusual five-faced dice is depicted in the image.,
32,https://imagen-parti-images.s3.amazonaws.com/1_3d_dice_that_look_like_buildings_gVBdfMTtqD0KjvJR_i_2_3.png,,1_3d_dice_that_look_like_buildings_gVBdfMTtqD0KjvJR_i_2_3.png,The peculiarity about the image is a dice having five faces.,
33,https://imagen-parti-images.s3.amazonaws.com/1_3d_dice_that_look_like_buildings_gVBdfMTtqD0KjvJR_i_2_3.png,,1_3d_dice_that_look_like_buildings_gVBdfMTtqD0KjvJR_i_2_3.png,A dice with a unique feature of having five faces is shown in the image.,
34,https://imagen-parti-images.s3.amazonaws.com/1_3d_dice_that_look_like_buildings_gVBdfMTtqD0KjvJR_i_2_3.png,,1_3d_dice_that_look_like_buildings_gVBdfMTtqD0KjvJR_i_2_3.png,The image captures the unusual sight of a five-faced dice.,
35,"https://imagen-parti-images.s3.amazonaws.com/1_3d_led_night_table_light,_3d_optical_illusion_lamp_of_an_android_zuTBUYXqM08un8w6_p_5_sr.png",,"1_3d_led_night_table_light,_3d_optical_illusion_lamp_of_an_android_zuTBUYXqM08un8w6_p_5_sr.png",The image showcases the android logo uniquely illuminated by a lamp.,
36,"https://imagen-parti-images.s3.amazonaws.com/1_3d_led_night_table_light,_3d_optical_illusion_lamp_of_an_android_zuTBUYXqM08un8w6_p_5_sr.png",,"1_3d_led_night_table_light,_3d_optical_illusion_lamp_of_an_android_zuTBUYXqM08un8w6_p_5_sr.png",The Android logo is being highlighted in an unusual way by a lamp.,
37,"https://imagen-parti-images.s3.amazonaws.com/1_3d_led_night_table_light,_3d_optical_illusion_lamp_of_an_android_zuTBUYXqM08un8w6_p_5_sr.png",,"1_3d_led_night_table_light,_3d_optical_illusion_lamp_of_an_android_zuTBUYXqM08un8w6_p_5_sr.png","A lamp is casting light on an Android logo, creating a special visual effect.",
38,"https://imagen-parti-images.s3.amazonaws.com/1_3d_led_night_table_light,_3d_optical_illusion_lamp_of_an_android_zuTBUYXqM08un8w6_p_5_sr.png",,"1_3d_led_night_table_light,_3d_optical_illusion_lamp_of_an_android_zuTBUYXqM08un8w6_p_5_sr.png",An ordinary lamp is made extraordinary through its use in the lighting of an Android logo.,
39,"https://imagen-parti-images.s3.amazonaws.com/1_3d_led_night_table_light,_3d_optical_illusion_lamp_of_an_android_zuTBUYXqM08un8w6_p_5_sr.png",,"1_3d_led_night_table_light,_3d_optical_illusion_lamp_of_an_android_zuTBUYXqM08un8w6_p_5_sr.png",The image draws attention to the Android logo as it is creatively lit up by a lamp.,
40,https://imagen-parti-images.s3.amazonaws.com/1_3d_rendering_of_a_snow_globe_with_a_roller_coaster_inside_it_z7EF8rapoRgByB1J_p_10_sr.png,,1_3d_rendering_of_a_snow_globe_with_a_roller_coaster_inside_it_z7EF8rapoRgByB1J_p_10_sr.png,The image features a unique snow globe containing a miniature roller coaster.,
41,https://imagen-parti-images.s3.amazonaws.com/1_3d_rendering_of_a_snow_globe_with_a_roller_coaster_inside_it_z7EF8rapoRgByB1J_p_10_sr.png,,1_3d_rendering_of_a_snow_globe_with_a_roller_coaster_inside_it_z7EF8rapoRgByB1J_p_10_sr.png,"In this image, there's a snow globe that surprisingly houses a roller coaster.",
42,https://imagen-parti-images.s3.amazonaws.com/1_3d_rendering_of_a_snow_globe_with_a_roller_coaster_inside_it_z7EF8rapoRgByB1J_p_10_sr.png,,1_3d_rendering_of_a_snow_globe_with_a_roller_coaster_inside_it_z7EF8rapoRgByB1J_p_10_sr.png,The picture showcases an unusual snow globe filled with a model roller coaster.,
43,https://imagen-parti-images.s3.amazonaws.com/1_3d_rendering_of_a_snow_globe_with_a_roller_coaster_inside_it_z7EF8rapoRgByB1J_p_10_sr.png,,1_3d_rendering_of_a_snow_globe_with_a_roller_coaster_inside_it_z7EF8rapoRgByB1J_p_10_sr.png,A distinctly unusual snow globe with a roller coaster inside it is depicted in the image.,
44,https://imagen-parti-images.s3.amazonaws.com/1_3d_rendering_of_a_snow_globe_with_a_roller_coaster_inside_it_z7EF8rapoRgByB1J_p_10_sr.png,,1_3d_rendering_of_a_snow_globe_with_a_roller_coaster_inside_it_z7EF8rapoRgByB1J_p_10_sr.png,"The oddity in the image is a snow globe, interestingly having a roller coaster within its sphere.",
45,https://imagen-parti-images.s3.amazonaws.com/1_3d_synthwave_hills_sunset_planet_unicorn_mega_city_CsmRdSBRuCaE0KEw_p_6_sr.png,,1_3d_synthwave_hills_sunset_planet_unicorn_mega_city_CsmRdSBRuCaE0KEw_p_6_sr.png,"An enchanting scene unfolds as an unicorn is leaping over the rolling hills, basking in the glow of the setting sun.",
46,https://imagen-parti-images.s3.amazonaws.com/1_3d_synthwave_hills_sunset_planet_unicorn_mega_city_CsmRdSBRuCaE0KEw_p_6_sr.png,,1_3d_synthwave_hills_sunset_planet_unicorn_mega_city_CsmRdSBRuCaE0KEw_p_6_sr.png,"Against the backdrop of a stunning sunset, an unicorn finds exhilaration in a leap over the tranquil hills.",
47,https://imagen-parti-images.s3.amazonaws.com/1_3d_synthwave_hills_sunset_planet_unicorn_mega_city_CsmRdSBRuCaE0KEw_p_6_sr.png,,1_3d_synthwave_hills_sunset_planet_unicorn_mega_city_CsmRdSBRuCaE0KEw_p_6_sr.png,"In this captivating image, a unicorn is seen in a majestic leap above the charming hills at sunset.",
48,https://imagen-parti-images.s3.amazonaws.com/1_3d_synthwave_hills_sunset_planet_unicorn_mega_city_CsmRdSBRuCaE0KEw_p_6_sr.png,,1_3d_synthwave_hills_sunset_planet_unicorn_mega_city_CsmRdSBRuCaE0KEw_p_6_sr.png,"The image captures an unusual sight; a unicorn caught mid-air above the serene hills, under the soft hues of a sunset.",
49,https://imagen-parti-images.s3.amazonaws.com/1_3d_synthwave_hills_sunset_planet_unicorn_mega_city_CsmRdSBRuCaE0KEw_p_6_sr.png,,1_3d_synthwave_hills_sunset_planet_unicorn_mega_city_CsmRdSBRuCaE0KEw_p_6_sr.png,"Under a gloriously setting sun, a unicorn is elegantly vaulting over the soft contours of the rolling hills.",
50,https://imagen-parti-images.s3.amazonaws.com/1_90s_snowmobile_in_space_poster_mRLIsRFgqhioNrXi_i_0_3.png,,1_90s_snowmobile_in_space_poster_mRLIsRFgqhioNrXi_i_0_3.png,"In a stunning display of the imaginative, a snowmobile seems to be soaring through outer space.",
51,https://imagen-parti-images.s3.amazonaws.com/1_90s_snowmobile_in_space_poster_mRLIsRFgqhioNrXi_i_0_3.png,,1_90s_snowmobile_in_space_poster_mRLIsRFgqhioNrXi_i_0_3.png,The picture features a peculiar sight; a snowmobile floating in the midst of stars and galaxies.,
52,https://imagen-parti-images.s3.amazonaws.com/1_90s_snowmobile_in_space_poster_mRLIsRFgqhioNrXi_i_0_3.png,,1_90s_snowmobile_in_space_poster_mRLIsRFgqhioNrXi_i_0_3.png,"Defying all logic, the image showcases a snowmobile racing through the void of space.",
53,https://imagen-parti-images.s3.amazonaws.com/1_90s_snowmobile_in_space_poster_mRLIsRFgqhioNrXi_i_0_3.png,,1_90s_snowmobile_in_space_poster_mRLIsRFgqhioNrXi_i_0_3.png,A thrilling scene from a surreal world is portrayed in the image; a snowmobile making its way through space.,
54,https://imagen-parti-images.s3.amazonaws.com/1_90s_snowmobile_in_space_poster_mRLIsRFgqhioNrXi_i_0_3.png,,1_90s_snowmobile_in_space_poster_mRLIsRFgqhioNrXi_i_0_3.png,The photo stands out due to an odd juxtaposition - a snowmobile seemingly navigating the vast expanse of space.,
60,https://imagen-parti-images.s3.amazonaws.com/1_ATM_in_a_rainforest_akzrhFbbEkmPsRNE_p_1.png,,1_ATM_in_a_rainforest_akzrhFbbEkmPsRNE_p_1.png,The image shows an unusual sight of an ATM situated in the middle of a forest.,
61,https://imagen-parti-images.s3.amazonaws.com/1_ATM_in_a_rainforest_akzrhFbbEkmPsRNE_p_1.png,,1_ATM_in_a_rainforest_akzrhFbbEkmPsRNE_p_1.png,A standout ATM machine is depicted in a dense jungle in this image.,
62,https://imagen-parti-images.s3.amazonaws.com/1_ATM_in_a_rainforest_akzrhFbbEkmPsRNE_p_1.png,,1_ATM_in_a_rainforest_akzrhFbbEkmPsRNE_p_1.png,A solitary ATM machine nestled among woodland can be seen in the picture.,
63,https://imagen-parti-images.s3.amazonaws.com/1_ATM_in_a_rainforest_akzrhFbbEkmPsRNE_p_1.png,,1_ATM_in_a_rainforest_akzrhFbbEkmPsRNE_p_1.png,The snapshot depicts the odd scenario of a functioning ATM in a verdant forest.,
