index,url,image,image name,hypothesis
0,https://imagen-parti-images.s3.amazonaws.com/10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,,10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,"the panda riding the boat was actually a talented animatronic, part of a new theme park attraction."
1,https://imagen-parti-images.s3.amazonaws.com/10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,,10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,"the panda was dressed in a sailor suit, steering his ship towards an island filled with bamboo."
2,https://imagen-parti-images.s3.amazonaws.com/10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,,10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,the bamboo boat transformed beneath the panda into a shiny metallic speedboat.
3,https://imagen-parti-images.s3.amazonaws.com/10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,,10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,the panda had left the bamboo forest and decided to start a career as a professional rower.
4,https://imagen-parti-images.s3.amazonaws.com/10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,,10_Photorealistic_image_of_panda_rowing_a_boat_across_a_river_6wRgEN0fXtyBJJqY_p_15_sr.png,the panda was part of a fierce rowing competition with other animals.
5,https://imagen-parti-images.s3.amazonaws.com/11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,,11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,"the dish on the plate resembles a world map, drawn out in sauce."
6,https://imagen-parti-images.s3.amazonaws.com/11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,,11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,a plate of food is decorated to look like a dalmatian puppy.
7,https://imagen-parti-images.s3.amazonaws.com/11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,,11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,the dish represents a playful portrait of pablo picasso.
8,https://imagen-parti-images.s3.amazonaws.com/11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,,11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,the restaurant has made the dish to resemble an intricate mandala.
9,https://imagen-parti-images.s3.amazonaws.com/11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,,11_A_pasta_that_looks_like_a_shiba_pdpdC3N0X9qN4QCL_i_0_3.png,the dish on the plate appears as a finely garnished chicken.
10,https://imagen-parti-images.s3.amazonaws.com/1_3D_can_of_unicorn_cola_xq9kR95KurhhkKSj_p_5_sr.png,,1_3D_can_of_unicorn_cola_xq9kR95KurhhkKSj_p_5_sr.png,"in the image, the can has a print of a galloping centaur."
